freq,rate,power
2412,DSSS-1,17.9576
2412,CCK-11L,18.2725
2412,OFDM-6,12.0396
2412,OFDM-36,12.3958
2412,OFDM-54,12.5922
2412,MCS0-HT20,12.1375
2412,MCS7-HT20,12.5217
2422,DSSS-1,18.1203
2422,CCK-11L,18.459
2422,OFDM-6,12.5213
2422,OFDM-36,12.8161
2422,OFDM-54,12.9012
2422,MCS0-HT20,12.4358
2422,MCS7-HT20,12.858
2427,DSSS-1,18.0326
2427,CCK-11L,18.3615
2427,OFDM-6,12.3136
2427,OFDM-36,12.7529
2427,OFDM-54,12.8431
2427,MCS0-HT20,12.3926
2427,MCS7-HT20,12.8007
2432,DSSS-1,18.01
2432,CCK-11L,18.3279
2432,OFDM-6,12.2952
2432,OFDM-36,12.7417
2432,OFDM-54,12.8394
2432,MCS0-HT20,12.3584
2432,MCS7-HT20,12.791
2437,DSSS-1,17.875
2437,CCK-11L,18.2075
2437,OFDM-6,12.1703
2437,OFDM-36,12.6164
2437,OFDM-54,12.7148
2437,MCS0-HT20,12.2149
2437,MCS7-HT20,12.6422
2442,DSSS-1,17.7828
2442,CCK-11L,18.1034
2442,OFDM-6,12.1003
2442,OFDM-36,12.4207
2442,OFDM-54,12.5559
2442,MCS0-HT20,12.1489
2442,MCS7-HT20,12.553
2447,DSSS-1,17.6791
2447,CCK-11L,17.9876
2447,OFDM-6,11.9419
2447,OFDM-36,12.3459
2447,OFDM-54,12.5298
2447,MCS0-HT20,12.0361
2447,MCS7-HT20,12.461
2452,DSSS-1,17.5753
2452,CCK-11L,17.9586
2452,OFDM-6,11.8994
2452,OFDM-36,12.3619
2452,OFDM-54,12.4549
2452,MCS0-HT20,11.9382
2452,MCS7-HT20,12.371
2457,DSSS-1,17.5343
2457,CCK-11L,17.868
2457,OFDM-6,11.789
2457,OFDM-36,12.1821
2457,OFDM-54,12.373
2457,MCS0-HT20,11.8662
2457,MCS7-HT20,12.2681
2462,DSSS-1,17.5882
2462,CCK-11L,17.9265
2462,OFDM-6,12.0841
2462,OFDM-36,12.3671
2462,OFDM-54,12.4473
2462,MCS0-HT20,11.9184
2462,MCS7-HT20,12.3748
2467,DSSS-1,17.6725
2467,CCK-11L,18.006
2467,OFDM-6,11.9218
2467,OFDM-36,12.3121
2467,OFDM-54,12.5163
2467,MCS0-HT20,11.9766
2467,MCS7-HT20,12.4103
2472,DSSS-1,17.8727
2472,CCK-11L,18.2162
2472,OFDM-6,12.175
2472,OFDM-36,12.6379
2472,OFDM-54,12.7255
2472,MCS0-HT20,12.1945
2472,MCS7-HT20,12.6219
5180,OFDM-6,7.48117
5180,OFDM-36,7.45995
5180,OFDM-54,7.58521
5180,MCS0-HT20,7.22712
5180,MCS7-HT20,7.35715
5240,OFDM-6,6.09076
5240,OFDM-36,6.01934
5240,OFDM-54,6.08173
5240,MCS0-HT20,5.66431
5240,MCS7-HT20,5.78807
5260,OFDM-6,6.56274
5260,OFDM-36,6.52522
5260,OFDM-54,6.61835
5260,MCS0-HT20,6.25028
5260,MCS7-HT20,6.35344
5320,OFDM-6,8.28163
5320,OFDM-36,8.37405
5320,OFDM-54,8.41244
5320,MCS0-HT20,7.99606
5320,MCS7-HT20,8.25165
5500,OFDM-6,9.61935
5500,OFDM-36,9.82629
5500,OFDM-54,9.91676
5500,MCS0-HT20,9.57278
5500,MCS7-HT20,9.87728
5600,OFDM-6,8.3775
5600,OFDM-36,8.53072
5600,OFDM-54,8.65496
5600,MCS0-HT20,8.17122
5600,MCS7-HT20,8.45836
5700,OFDM-6,5.53851
5700,OFDM-36,5.64777
5700,OFDM-54,5.77055
5700,MCS0-HT20,5.16965
5700,MCS7-HT20,5.45652
5745,OFDM-6,3.6386
5745,OFDM-36,3.73391
5745,OFDM-54,3.85631
5745,MCS0-HT20,3.16851
5745,MCS7-HT20,3.42649
5805,OFDM-6,0.874911
5805,OFDM-36,0.891753
5805,OFDM-54,1.05527
5805,MCS0-HT20,0.346555
5805,MCS7-HT20,0.539128
5825,OFDM-6,1.89323
5825,OFDM-36,1.89048
5825,OFDM-54,2.03243
5825,MCS0-HT20,1.32256
5825,MCS7-HT20,1.5389
